"locality"
"Lill-Jonskärr, c. 5 km SW of Källa parish church"
"södra stranden av Vendelsjön"
"200 m nordöst om Lönnholmen"
"SW shore of the southern point of the island Lundskär (S of Risö)"
"Burängen"
"nära Björkbacken"
"Lökaö vid Österviken i nygrävt dike"
"Björkhagen near Askarbäck"
"Träsket, östra sidan"
"Skarp-Runmarö norra udden"
"Jämtlands län: Østersund k.: mellom tollstasjonen Storlien og norskegrensa, mellom väg E 14 og jernbanen, i myr"
"Västerbottens län: Skellefteå k: ved Kåge båthamn, i vasskanten."
"Norrbotten Muonionalusta: 300 m S-SSV gamla kojan (ruinen) vid Yli Kihlankijoki vid skogsväg, fuktigt skogsvägkant, 29M 5d 05 44, 2001-07-29; Persson, Lennart; Bnr = nb01 2670"
"Norrbotten Överkalix: 2250 m S Lillsandudden, vid sjön, sjökant, 27L 2j 04 49, 2008-08-04; Jönsson, Lennart; Bnr = nb08 6465"
"Norrbotten Pajala: Jalorova V 2,6 km V-VSV om pkt 170,76, fuktig skogsväg över myr, 29M 1e 28 08, 2008-07-23; Stenberg, Lennart; Bnr = nb08 2893"
"Norrbotten Pajala: Vid körväg 550 m SSV om punkt 146,74 S om Mella, kärrkant, 28M 9h 07 44, 2006-07-15; Persson, Lennart & Haraldsson, Kerstin; Bnr = nb06 1115"
"Norrbotten Junosuando: Patsankijoki, 50 m N om bron, Kojplan, 29L 2j 42 19, 2001-07-21; Davidsson, Irma & Brännvall, Tage & Engström, Astrid; Bnr = nb01 1515"
"Norrbotten Korpilombolo: Vid gården öster om Nykäsenvaara, SO-delen av kulturmarken vid Kalix älv, älvstrandzon, 27M 7a 41 49, 2002-07-25; Persson, Lennart & Read, Gill; Bnr = nb02 1839"
"Norrbotten Töre: 500 m SSV om Alderträskets norra spets, skogsdike, 26M 0b 33 25, 2008-07-20; Stenberg, Lennart; Bnr = nb08 2748"
"Norrbotten Älvsby: 500 m NNV Solnäs, siltigt vägdike vid hygge, 24K 9j 08 29, 2004-07-23; Stenberg, Lennart; Bnr = nb04 2065"
"Norrbotten Pajala: 450 m O-ONO Paavonsaaris östra spets, blöt och delvis myrlik strandäng, 28M 6c 07 40, 2008-07-15; Groth, Hans & Hedlund, Åsa; Bnr = nb08 4971"
"Norrbotten Tärendö: Kalixälvens västra sida vid Mestasvuopio, 350 m SV-SSV om den lilla öns sydspets, bäckkant, 28L 0j 04 21, 2006-07-16; Davidsson, Irma & Haraldsson, Kerstin; Bnr = nb06 1260"
"Norrbotten Junosuando: Oksajärvi, södra gården, sjökant, 29L 4g 47 25, 2001-07-25; Persson, Lennart & Perä, Imgmar; Bnr = nb01 2614"
"Norrbotten Karl Gustav: 350 m VNV om inloppet i norra Korpijärvi, vägdike, 25N 9a 34 09, 2006-07-04; Stenberg, Lennart; Bnr = nb06 0492"
"Norrbotten Muonionalusta: 100 m SO skogsbilvägens korsning med Vähäjoki, dike, 30M 0b 27 46, 2008-08-05; Groth, Hans & Paszko, Beata; Bnr = nb08 5389"
"Norrbotten Hietaniemi: 500 m N om Matkabäckens korsning med skogsvägen, skogsvägs korsning med dike, 26M 5g 40 29, 2008-07-21; Stenberg, Lennart; Bnr = nb08 2780"
"Norrbotten Edefors: 300 m ONO avtaget mot Holmvattnet, sjöstrand, 26K 0j 48 42, 2007-07-05; Haraldsson, Kerstin & Davidsson, Irma; Bnr = nb07 0758"
"Norrbotten Junosuando: Piipiönjoki vid vägbron, örtrik jokkstrandäng, 28L 9i 25 12, 2006-07-20; Stenberg, Lennart; Bnr = nb06 2664"
"Norrbotten Korpilombolo: Korpilombolojärvi, 300 m ONO om kyrkan, sjö, sjöstrand, 27M 7d 10 26, 2000-07-28; Green, Ian & Zethraeus, Ulf; Bnr = nb00 2072"
"Norrbotten Hietaniemi: Svartberget 450 m SSO Svartträskets södra ände, vägdike, 26M 4f 00 29, 2006-07-07; Stenberg, Lennart & Riedle, Sebastian; Bnr = nb06 0608"
"Norrbotten Korpilombolo: Vid skogsvägförgreningen 850 m V Pahajärvis sydvästhörn, skogsvägdike, 27M 5g 05 12, 2007-07-17; Persson, Lennart & Hederås, Jan-Erik; Bnr = nb07 2964"
"Norrbotten Muonionalusta: Takapalonjänkkä 900 m OSO om Myllyojas korsning med skogsväg, myrdike vid skogsväg, 29M 6e 42 15, 2008-08-01; Stenberg, Lennart; Bnr = nb08 6091"
"Norrbotten Muonionalusta: Ruokajoki 1,4 km SV-VSV om Siikajärvet, jokkstrand, 30M 2a 39 36, 2008-08-03; Paszko, Beata & Haraldsson, Kerstin; Bnr = nb08 7054"
"Norrbotten Överkalix: Bredseludden nära väg-bäckkorsningen, frodig vägdikesslänt, 27M 1b 04 28, 2008-07-19; Stenberg, Lennart; Bnr = nb08 2716"
"Norrbotten Muonionalusta: Muodoslompolo vid lilla gölen N om Muodosjärvi och grusvägen, gölkärr, 30M 1d 42 30, 2008-08-08; Stenberg, Lennart; Bnr = nb08 7941"
"Norrbotten Junosuando: 250 m S om vägbron över Rauvosjoki, bäckkant, 29L 4h 07 03, 2002-07-20; Persson, Lennart & Groth, Hans; Bnr = nb02 1706"
"Norrbotten Karl Gustav: Ala-Kukkola nära pkt 23,59, vägrenar vid vallodling, 25N 9e 06 24, 2006-06-27; Stenberg, Lennart; Bnr = nb06 0061"
"Norrbotten Pajala: 400 m SO transformatorn söder om Haminaniva, dike, 28M 2i 40 08, 2008-07-13; Groth, Hans & Hedlund, Åsa; Bnr = nb08 1751"
